jordtype,komm,nedbarea,nmin,aar_mod,forfrugt,potnmin,jordn,pesticid,exptgens,mod_nmin,ngodnt,nopt,ngodnn,ngodn,nprot,saatid,rokap,dgv1059,sort,srtprot,nplac,dg25,ngtilg,ntilg,saamng,tkvs,saakern,partigerm,frspdag,jordinf,markgrm,antplnt,sorttkv,aks_m2,keraks,dgv5980,aks_vgt,srtsize,ksort,protein,udb,spndx,tkv,slt22,s2225,s2528,bgbyg
5,2,3,3,10,2,4,5,1,3,2,5,5,4,4,4,2,6,5,19,5,3,1,4,4,3,5,2,3,2,6,3,1,4,3,2,6,1,5,1,4,1,4,2,4,2,3,1
1,3,2,1,10,4,2,1,1,3,1,5,5,1,3,1,1,1,4,9,2,2,1,3,8,4,4,4,7,4,6,6,4,6,2,5,1,1,2,1,2,1,4,5,4,2,3,5
7,2,3,2,11,5,3,3,1,4,1,7,1,8,7,3,2,7,5,65,3,2,1,8,10,1,3,1,3,3,7,4,1,4,6,7,4,8,5,1,6,9,4,5,4,2,4,1
5,2,3,2,5,2,4,6,1,4,2,6,1,10,6,5,5,5,3,12,1,3,5,6,4,10,3,7,3,4,9,4,6,4,7,2,5,3,4,3,7,7,4,3,4,1,1,2
4,1,1,3,11,5,5,6,1,3,1,6,5,5,5,5,4,3,4,14,5,2,2,5,4,1,2,1,2,1,6,2,1,4,3,3,3,6,7,4,7,3,1,3,3,1,1,2
4,2,2,3,7,1,2,4,1,3,3,5,5,2,2,3,5,3,2,8,4,2,4,1,2,5,3,5,4,1,9,5,4,3,4,2,5,3,1,2,3,2,4,4,4,2,3,2
4,3,2,3,6,3,4,7,1,3,3,4,5,1,1,5,3,3,4,28,2,3,3,1,6,8,8,6,8,2,9,9,6,3,6,4,5,4,4,1,5,5,4,6,4,2,4,3
6,1,3,3,8,5,8,9,1,4,2,6,1,7,6,7,3,6,4,47,5,2,3,5,7,7,8,5,9,1,7,8,5,6,4,5,6,5,5,1,8,3,4,5,4,2,5,2
2,2,1,3,2,3,4,8,1,4,4,4,1,6,4,6,1,4,5,39,3,3,1,4,7,4,4,4,3,8,4,3,3,5,4,6,1,9,5,5,1,7,4,5,2,1,1,5
3,3,3,2,8,2,2,3,1,3,1,6,4,7,6,2,2,3,4,32,3,2,1,7,10,4,1,5,7,4,9,8,5,6,4,6,5,4,5,1,4,3,4,4,4,1,4,3
8,2,3,4,10,5,8,9,1,3,3,4,5,1,1,6,3,7,4,11,4,2,3,1,8,5,4,5,9,1,8,9,5,6,2,6,4,6,4,1,6,2,4,4,4,3,6,3
9,4,3,3,6,3,5,7,1,4,3,5,1,4,4,5,5,6,2,66,6,3,5,4,6,2,5,2,4,1,4,3,1,6,4,3,6,3,4,1,8,2,1,2,3,2,3,1
1,3,1,1,2,1,1,3,1,2,2,5,4,7,5,2,3,3,2,65,4,2,1,4,10,5,6,4,4,2,9,5,3,3,3,6,5,7,5,1,3,3,4,6,2,2,3,3
6,1,1,4,3,1,2,6,1,4,5,4,1,10,4,4,1,7,5,24,7,2,3,2,5,8,4,7,2,5,9,3,5,4,3,3,1,3,7,3,8,2,4,5,4,2,2,5
6,1,1,4,7,5,6,9,1,4,4,4,1,7,4,7,2,5,5,18,3,2,1,4,8,7,1,7,7,2,9,8,7,6,4,5,1,9,3,5,6,7,3,5,2,1,1,5
3,3,2,1,6,2,1,2,2,2,1,6,4,5,5,2,1,3,5,2,3,3,1,5,10,6,1,7,8,4,9,9,7,6,6,7,5,3,4,1,1,4,4,4,4,2,1,1
1,2,2,2,9,1,1,1,1,2,1,6,4,5,5,1,3,2,5,13,5,3,1,5,9,10,1,7,4,1,9,5,6,5,6,1,1,9,3,5,5,9,4,4,1,1,1,5
8,1,1,4,4,2,4,8,1,6,5,5,4,5,5,6,1,6,6,61,5,3,7,5,7,5,1,7,5,6,5,4,6,4,5,5,2,7,4,2,4,6,4,4,4,1,1,1
2,1,3,2,3,5,5,8,1,3,3,4,4,5,4,6,2,4,5,26,2,3,4,4,6,2,7,1,8,2,9,9,1,3,3,4,2,7,3,4,3,3,1,3,4,1,1,5
4,5,3,2,6,1,2,3,1,3,2,6,4,7,6,2,4,4,2,66,5,2,1,6,10,1,6,1,1,1,9,2,1,6,3,5,5,5,4,1,8,2,4,2,1,2,5,2
2,2,2,2,4,1,1,3,1,2,3,4,4,7,4,2,5,3,1,38,4,3,6,4,10,6,3,6,2,3,9,3,5,6,3,7,5,4,5,1,5,2,4,2,4,2,2,2
7,1,3,3,7,3,3,5,1,5,3,5,3,7,5,4,1,5,5,33,3,3,3,5,3,8,5,7,2,3,9,3,5,5,4,5,4,5,6,1,5,3,2,7,4,2,4,1
7,4,1,4,6,2,4,8,1,5,4,5,2,7,5,6,2,7,5,44,4,1,1,8,6,1,8,1,7,2,9,8,1,6,5,6,1,7,2,1,5,6,1,1,2,2,5,5
3,5,3,2,7,3,2,3,1,4,2,6,1,8,6,2,1,2,1,12,2,1,1,5,10,2,9,1,8,8,4,5,1,4,4,5,4,7,5,3,2,4,4,2,4,1,1,2
7,4,3,3,5,5,8,9,1,5,3,6,2,9,6,7,1,6,5,48,4,1,1,7,8,7,5,6,2,8,5,2,4,5,2,5,6,8,6,4,7,3,4,5,3,1,1,1
3,2,2,1,6,1,1,1,1,3,1,7,5,1,10,2,2,2,4,28,3,2,1,7,9,1,8,1,9,4,9,9,1,3,3,4,2,8,3,4,2,3,4,4,2,1,1,3
7,1,3,3,7,3,4,6,1,4,3,5,1,10,5,5,3,6,5,26,3,3,1,5,4,9,3,7,4,1,7,4,6,4,6,4,6,1,3,1,8,3,4,4,4,3,5,2
7,5,1,4,4,5,7,9,1,4,5,3,1,6,3,7,3,6,3,57,4,1,2,2,7,8,3,7,5,2,9,6,6,5,7,2,6,1,6,2,8,4,4,4,4,2,2,1
5,1,2,3,7,5,6,8,1,4,3,5,1,6,5,6,1,4,6,15,2,3,1,5,7,9,9,6,7,6,9,8,6,3,6,5,2,8,2,4,1,9,4,4,2,1,1,3
2,2,1,4,6,5,6,9,1,4,4,4,1,7,4,7,3,3,5,67,5,1,5,1,7,1,2,1,4,3,5,4,1,2,6,4,3,6,2,2,5,7,4,4,4,2,2,3
5,4,1,3,7,2,4,6,1,4,3,5,1,10,5,5,1,4,5,14,5,3,1,5,5,9,7,7,2,5,9,3,5,3,3,5,6,4,5,1,5,2,4,5,4,3,5,2
2,4,3,2,2,5,4,7,1,3,3,4,4,4,4,5,2,4,4,56,4,1,1,4,5,2,2,2,4,4,9,5,2,5,2,3,2,8,2,5,7,2,4,4,1,1,1,1
9,2,2,3,4,1,4,7,1,4,4,5,1,4,4,5,5,5,2,8,3,2,5,2,5,8,8,6,2,3,9,3,5,4,6,4,6,1,2,1,8,3,4,5,4,3,4,1
1,3,3,2,7,1,1,2,2,2,2,5,4,5,5,2,1,3,5,13,5,2,1,5,9,3,5,2,4,6,7,4,2,5,2,4,2,5,4,1,8,1,4,3,4,2,3,5
1,5,2,2,1,1,1,4,1,2,4,3,4,1,1,2,2,1,1,66,4,1,6,1,2,1,5,1,7,4,6,6,1,5,2,2,1,6,4,5,1,2,4,2,2,1,1,3
7,3,3,3,2,3,8,9,1,5,4,4,2,9,4,7,2,5,5,15,2,2,1,5,7,8,9,5,4,1,9,5,4,3,5,3,2,7,3,5,8,6,4,2,2,1,1,4
5,3,2,2,10,1,2,2,1,4,1,8,1,7,7,2,1,5,4,5,3,1,1,9,9,9,2,7,3,5,7,4,6,3,6,5,5,4,4,1,7,5,4,3,2,3,6,3
3,2,3,1,11,4,3,2,1,4,1,6,1,7,6,2,3,3,3,43,4,2,2,4,10,7,9,4,4,1,9,5,3,6,4,7,1,8,4,1,7,5,4,6,4,2,5,5
3,2,2,2,10,3,2,2,1,5,1,7,2,9,7,2,1,2,4,16,1,1,1,8,9,10,1,7,6,6,6,5,6,6,4,5,6,2,4,1,3,2,4,5,4,3,4,1
7,1,1,3,7,5,6,8,1,4,3,5,1,6,5,6,1,5,5,32,1,3,4,5,6,5,7,4,4,6,3,3,3,5,3,5,5,6,5,1,4,3,4,5,2,2,3,1
1,3,2,2,1,3,2,5,1,3,4,3,5,4,3,4,1,1,2,60,3,3,7,3,4,4,2,4,4,3,8,5,3,5,4,4,5,4,6,1,8,3,4,4,4,2,3,3
7,1,1,4,7,2,3,6,1,5,4,5,2,6,5,5,3,5,3,60,3,2,3,4,4,7,9,4,9,2,7,8,4,4,5,2,1,7,6,5,8,6,4,3,1,1,1,1
1,5,2,2,1,4,1,4,1,2,4,1,3,6,1,2,2,1,3,33,2,3,2,1,3,1,3,1,8,2,9,9,1,5,2,3,2,3,5,1,2,1,4,5,4,2,3,5
9,1,1,3,1,4,8,9,1,4,5,2,1,6,2,7,2,6,5,29,4,1,1,3,8,3,9,1,8,2,8,8,1,6,3,6,2,9,6,5,3,5,1,4,2,1,1,5
3,2,2,1,4,2,1,2,1,3,2,5,3,3,3,1,1,2,4,13,5,3,1,3,9,5,4,5,8,4,9,9,5,4,4,4,1,9,3,5,2,7,4,5,1,1,1,5
1,5,1,2,1,2,2,5,1,4,4,4,1,10,4,4,4,1,2,40,6,3,1,4,4,10,2,7,2,1,9,3,5,6,6,4,1,7,4,4,8,8,4,4,2,1,1,5
1,2,1,2,9,4,1,2,1,3,1,5,5,1,1,1,4,1,2,26,3,2,4,1,1,2,9,1,9,1,9,10,1,4,1,1,1,6,3,5,3,1,4,1,1,1,1,4
3,1,1,2,9,1,1,1,1,3,1,7,5,1,10,2,5,3,3,5,2,3,6,10,9,4,6,3,5,1,9,6,3,3,7,5,1,7,4,3,6,9,4,3,4,1,1,1
3,4,3,2,2,4,3,6,1,3,3,3,5,5,3,4,1,3,6,57,3,2,4,2,5,2,7,1,1,2,9,2,1,5,2,4,5,3,5,1,2,1,4,1,1,2,5,2
4,2,3,2,7,5,6,7,1,3,2,5,5,1,1,5,2,3,5,50,2,2,1,1,6,3,9,1,7,3,9,7,1,6,2,6,2,9,5,5,2,3,4,5,2,1,1,4
1,3,3,1,1,5,3,5,1,2,3,4,4,2,2,3,5,1,2,59,4,3,5,2,3,8,1,7,3,1,8,4,6,5,6,3,1,8,5,5,4,9,4,2,1,1,1,5
6,2,1,4,11,1,3,5,1,3,2,6,5,4,4,4,5,6,3,55,3,3,6,4,4,10,5,7,5,3,9,6,6,5,6,3,4,1,5,1,6,3,4,3,2,2,5,2
2,4,2,3,11,3,6,7,1,3,1,6,4,4,4,5,3,4,5,60,3,1,1,5,5,2,2,2,9,1,8,9,2,5,3,4,1,4,6,1,6,2,4,4,4,2,3,5
7,3,2,3,10,2,3,4,1,4,2,6,1,9,6,3,4,5,3,48,4,1,6,1,3,1,4,1,1,2,6,1,1,5,1,7,4,5,7,1,3,1,1,5,4,3,3,1
2,4,3,2,11,4,6,6,1,3,1,5,5,5,5,5,2,4,4,46,3,3,5,5,5,5,4,5,9,3,6,7,5,7,3,3,6,2,3,1,6,1,4,3,4,2,5,2
7,2,2,3,10,1,1,2,1,4,2,7,1,6,6,2,5,5,3,37,4,1,2,5,9,5,3,5,2,5,4,2,3,5,5,4,2,7,3,4,3,6,4,4,4,1,1,4
7,3,1,4,3,1,1,6,1,4,5,4,1,10,4,4,1,7,5,8,4,2,1,5,4,3,6,2,1,2,9,2,1,5,2,4,2,9,2,5,8,3,4,2,1,1,1,5
2,4,3,2,11,3,4,4,1,4,1,7,1,9,7,3,5,4,4,51,3,1,6,1,2,6,1,7,1,1,5,1,4,8,3,3,4,2,2,1,7,1,4,3,2,2,5,3
6,5,1,3,7,2,4,6,1,4,3,5,1,10,5,5,4,6,4,3,3,1,1,5,4,1,6,1,4,1,7,4,1,4,5,4,6,1,4,1,8,2,4,4,4,3,5,1
9,1,3,3,11,3,6,7,2,5,1,7,3,1,10,6,5,7,4,51,3,1,6,1,6,8,1,7,9,1,5,6,6,8,3,4,2,9,2,5,6,5,4,2,1,1,1,1
5,1,1,4,7,2,4,7,1,4,4,4,1,4,4,5,4,5,2,19,5,1,4,1,5,9,4,7,8,1,8,8,7,5,6,4,5,4,5,1,8,5,4,3,2,2,4,2
9,5,3,2,7,2,6,7,1,4,2,6,1,4,4,5,2,6,5,45,3,2,3,4,6,4,1,5,6,6,6,5,4,6,3,4,5,8,4,5,4,4,4,4,2,2,1,2
6,1,2,3,8,4,3,5,1,5,2,5,3,7,5,4,5,6,2,38,4,3,5,5,3,9,9,6,7,1,9,8,6,5,7,1,2,1,5,4,8,4,4,2,4,1,1,4
8,5,1,3,11,2,3,4,1,6,1,9,3,5,5,3,5,6,4,50,2,1,7,1,3,9,6,7,2,1,7,3,5,6,6,2,2,1,5,1,7,3,4,1,4,2,3,1
5,4,3,3,1,5,2,6,1,4,5,3,1,10,3,4,4,5,4,47,6,1,5,1,5,6,5,5,8,1,9,9,5,5,3,5,1,1,5,1,5,1,4,3,4,3,3,5
3,1,1,2,10,5,2,2,1,3,1,6,4,5,5,2,2,3,3,42,4,1,2,1,1,7,1,7,4,4,5,4,6,6,6,2,5,1,5,1,8,3,1,2,4,2,3,2
2,1,1,2,7,2,3,4,1,3,2,5,5,2,2,3,4,5,5,56,3,3,1,2,2,10,5,7,6,1,6,5,6,5,3,2,6,1,4,1,8,1,1,2,4,2,3,3
4,4,2,3,9,3,3,5,1,4,2,6,1,10,6,4,1,4,5,4,3,3,4,6,10,8,9,5,7,6,6,6,5,6,4,7,4,6,3,1,5,3,1,5,4,3,4,1
5,4,3,3,9,5,8,9,1,5,2,7,1,7,7,7,5,6,3,59,4,3,6,7,8,8,6,7,1,1,7,2,5,5,3,1,1,9,6,5,8,5,1,3,1,1,1,4
9,1,2,4,1,3,7,9,1,3,6,1,5,1,1,6,5,6,2,12,1,3,6,1,8,3,5,2,7,1,9,8,2,4,3,6,6,2,3,1,8,1,4,7,4,2,2,1
7,4,3,3,7,4,3,5,1,5,3,4,2,4,4,4,2,6,5,35,6,2,1,2,4,4,4,4,6,3,9,7,4,1,8,2,6,2,3,2,8,8,4,5,4,2,3,1
3,5,3,1,11,5,3,2,1,2,1,6,4,5,5,2,1,2,3,65,4,1,2,4,9,9,3,7,4,6,7,4,6,4,4,4,1,9,5,5,6,7,4,5,2,4,1,1
6,2,3,3,11,2,2,3,1,3,1,6,4,7,6,3,2,6,4,20,4,1,1,3,1,5,7,4,3,2,9,4,3,5,3,1,2,4,5,5,6,2,4,1,2,1,1,1
2,1,1,3,11,3,5,6,1,3,1,6,5,5,5,5,3,4,3,14,4,1,1,5,4,2,5,2,6,1,9,7,2,3,3,4,2,7,6,5,8,3,4,2,3,1,1,5
2,4,3,2,11,4,7,7,1,3,1,5,5,1,4,5,4,4,4,62,3,3,1,4,6,1,7,1,1,1,9,2,1,4,2,4,2,7,4,4,4,2,4,1,2,1,1,1
1,4,3,1,11,3,2,1,1,3,1,6,5,1,10,2,3,2,2,1,2,3,4,10,9,5,3,5,3,5,9,4,4,2,2,7,3,1,3,1,5,1,4,7,4,1,1,3
2,2,2,2,9,2,3,4,1,3,1,6,5,3,3,3,4,4,3,60,2,2,5,1,3,5,6,4,4,1,8,5,3,4,2,4,2,8,5,5,8,3,4,1,2,1,1,4
8,2,1,3,1,5,8,9,1,4,5,3,1,6,3,7,4,7,4,38,4,3,1,3,7,1,6,1,5,1,8,5,1,6,6,4,2,9,5,5,7,9,4,6,2,1,1,1
7,2,2,3,2,2,3,7,1,6,4,6,4,4,4,5,3,6,4,39,2,1,1,4,6,3,2,3,4,1,9,5,3,5,2,4,5,6,6,3,7,2,4,1,4,1,1,3
4,4,2,2,1,5,8,9,1,3,4,3,6,2,2,7,2,4,5,12,1,1,6,1,8,7,1,7,3,1,9,4,6,4,6,6,3,8,4,3,7,9,4,1,4,1,1,5
8,3,2,3,3,3,3,7,1,4,4,4,1,4,4,5,5,7,4,41,4,3,7,4,6,6,4,5,7,1,9,7,5,5,5,4,2,7,7,5,7,6,4,1,3,1,1,6
2,2,3,2,3,1,2,5,1,2,3,4,3,7,4,4,5,4,4,3,4,1,2,6,10,4,7,3,1,1,9,2,2,3,6,7,2,8,3,1,8,9,4,2,4,2,5,1
3,2,1,1,1,1,1,3,1,2,3,4,4,7,4,2,4,3,4,20,3,3,5,4,10,4,3,4,8,1,5,5,3,5,5,6,5,3,6,1,5,3,4,4,4,3,4,3
7,3,3,3,4,5,3,6,1,5,4,5,3,8,5,5,4,6,4,45,4,1,1,7,10,9,3,7,6,2,7,6,6,6,5,5,3,5,2,1,8,4,2,4,4,3,6,1
6,2,3,3,11,3,4,5,1,4,1,7,1,9,7,4,5,5,4,44,3,2,6,4,4,1,9,1,3,4,9,4,1,6,2,3,6,3,3,1,5,1,4,3,4,2,4,1
6,3,1,3,1,4,1,5,1,4,5,2,1,10,2,3,5,7,4,17,3,1,5,1,4,10,4,7,9,1,5,6,6,8,6,2,1,9,3,5,6,9,4,3,1,1,1,4
2,4,3,2,11,3,4,4,1,3,1,6,5,2,2,3,3,4,4,37,5,2,1,3,3,3,4,3,1,4,7,2,2,5,1,5,1,7,2,3,6,1,4,3,4,2,2,5
8,4,2,3,1,3,8,9,1,5,5,3,3,4,3,7,1,7,4,45,2,1,1,5,8,2,5,2,4,6,4,3,1,7,3,5,2,9,4,5,1,5,1,2,1,1,1,1
8,4,3,2,1,3,8,9,1,4,4,4,1,7,4,7,5,5,4,42,4,1,6,1,7,1,9,1,8,1,6,6,1,5,4,5,2,9,5,5,8,7,4,5,1,3,1,2
4,3,2,2,10,2,5,5,1,2,1,6,4,1,10,5,1,4,2,59,4,3,3,10,10,5,4,5,5,3,5,4,4,5,4,5,2,8,5,4,8,5,4,4,2,1,1,4
4,1,1,3,8,3,4,6,1,4,2,6,1,10,6,5,1,2,5,23,4,2,1,6,4,5,2,5,2,5,6,2,3,6,2,4,4,3,5,1,8,1,4,2,4,2,5,1
3,2,1,2,5,5,4,6,1,3,2,5,5,5,5,5,4,2,1,10,3,1,2,4,4,5,6,4,1,3,8,2,3,5,2,5,3,6,5,1,2,2,4,2,3,2,3,2
4,2,3,1,9,1,2,2,1,3,1,7,6,2,2,1,4,2,3,51,3,1,1,1,1,5,7,4,9,1,4,5,3,7,6,2,3,3,2,1,4,4,2,2,4,2,2,3
2,1,1,2,6,5,5,7,1,4,2,6,1,4,4,5,1,2,3,34,3,1,1,2,5,10,4,7,4,5,6,4,6,4,6,4,1,8,5,4,8,9,4,5,2,1,1,1
9,2,3,3,6,4,8,9,1,3,3,3,4,6,3,7,1,7,5,34,3,3,1,3,8,6,7,5,8,7,4,5,4,4,7,4,1,8,6,5,3,9,1,4,1,1,1,5
1,2,2,1,9,3,2,2,1,3,1,6,4,6,6,2,3,1,2,48,4,2,2,7,9,6,6,5,9,2,9,10,5,5,3,7,2,7,6,1,5,3,4,3,4,3,5,4
3,2,1,1,7,4,4,4,1,4,1,6,1,8,6,3,5,3,1,45,3,1,6,1,2,8,8,6,7,1,4,4,5,7,3,3,5,3,4,1,4,2,4,2,4,2,3,1
9,1,1,4,1,4,1,6,1,3,6,1,5,5,1,4,1,6,5,24,6,1,1,1,5,6,8,4,5,3,9,6,4,5,3,4,6,1,5,1,8,1,4,3,4,2,5,2
5,4,1,3,3,3,6,9,1,4,4,4,1,7,4,7,1,5,6,66,5,2,1,3,7,9,3,7,4,3,6,4,6,6,7,2,2,7,5,5,7,9,4,4,1,1,1,1
2,4,1,3,11,5,2,3,1,4,1,7,1,7,7,3,4,5,2,34,3,1,1,4,10,2,9,1,8,2,4,5,1,4,5,6,5,3,5,1,5,3,4,1,4,3,3,1
4,3,1,3,1,5,6,9,1,2,5,2,3,3,2,7,1,3,5,20,3,1,1,3,8,3,8,2,2,4,6,2,1,5,4,4,2,8,6,5,3,5,3,5,1,1,1,5
7,3,1,3,4,3,3,6,1,5,4,4,3,8,4,4,5,7,4,49,3,3,4,4,5,10,6,7,3,1,9,4,6,4,7,3,6,2,5,1,6,6,4,3,4,2,4,1
7,5,2,3,4,3,4,7,1,5,4,4,3,1,1,5,4,6,4,3,3,2,1,1,6,7,5,6,3,3,9,4,5,3,3,4,6,4,3,1,6,2,2,3,4,2,5,1
5,2,2,4,10,3,7,9,1,3,3,4,6,2,2,7,4,5,2,4,4,1,1,1,7,9,2,7,7,2,9,8,7,6,6,7,1,9,4,3,8,9,4,7,4,1,1,4
7,1,1,4,3,3,3,7,1,4,5,3,1,4,3,5,4,6,4,35,5,2,1,4,5,2,5,2,2,2,9,3,1,1,6,4,2,5,4,1,8,6,1,4,4,2,3,1
8,2,3,3,1,2,2,6,1,6,5,5,4,3,3,4,3,6,4,34,3,1,2,3,5,3,2,3,1,1,7,2,2,5,3,5,6,3,6,1,7,2,4,5,4,3,5,1
8,1,2,3,5,1,2,5,1,4,3,6,1,10,6,4,4,7,3,7,3,2,1,5,3,6,8,4,4,1,6,4,3,6,3,4,6,1,5,1,6,1,4,3,4,3,5,2
6,3,2,3,11,4,8,9,1,4,1,6,1,7,6,7,1,6,5,42,4,2,1,6,7,5,7,4,2,4,6,2,3,5,4,6,6,2,6,1,7,2,1,5,4,2,3,2
5,2,1,4,11,2,6,8,1,3,2,5,5,1,9,7,3,5,4,27,2,2,1,8,6,2,6,1,8,2,8,8,1,6,5,5,2,6,4,1,8,5,4,2,4,2,4,1
9,1,2,4,1,3,8,9,1,4,6,2,1,6,2,7,1,7,5,22,3,3,4,2,8,8,7,6,3,7,8,5,5,8,2,7,3,1,3,1,1,1,4,2,4,1,1,2
7,4,3,3,1,1,2,6,1,4,5,4,1,10,4,4,5,5,3,65,4,3,3,4,4,7,6,6,1,1,9,2,4,5,6,2,6,3,5,3,7,4,4,2,4,1,1,1
6,1,1,4,6,3,8,9,1,4,4,4,1,6,4,7,3,6,5,55,3,3,5,4,7,6,2,7,4,1,8,5,6,5,4,5,2,8,5,5,3,5,4,7,2,1,1,5
6,2,2,3,11,4,1,2,1,4,1,6,1,6,6,2,2,7,5,61,3,1,5,1,1,5,9,3,2,1,9,3,2,5,2,2,6,1,4,2,5,1,1,4,4,2,3,1
8,1,2,4,9,4,7,9,1,3,3,3,5,1,1,6,2,5,6,38,4,1,1,2,7,9,5,7,5,1,9,6,6,6,6,4,3,8,4,5,1,9,4,4,2,3,1,4
6,2,1,3,11,1,2,3,1,3,1,7,4,7,7,3,4,7,4,33,3,3,5,7,10,2,1,3,6,1,9,7,3,5,5,6,3,6,5,1,4,5,1,3,4,2,5,1
7,2,2,2,11,1,2,2,2,4,1,8,2,9,8,2,1,5,5,31,2,3,4,8,9,3,2,3,7,3,8,7,3,3,4,6,3,7,5,2,5,4,4,5,2,2,3,4
2,4,1,3,7,3,5,7,1,3,3,4,5,1,1,5,1,2,5,13,5,1,1,2,5,9,1,7,1,5,7,2,5,4,5,4,3,6,4,3,6,5,4,3,4,1,2,3
5,2,3,2,10,4,8,8,1,4,1,6,1,6,6,6,5,7,3,50,2,1,6,1,6,2,3,2,4,5,5,4,1,7,4,4,2,8,6,5,8,5,4,2,1,1,1,4
6,3,1,4,11,2,4,6,1,4,2,6,1,10,6,5,3,7,3,44,3,3,2,6,4,10,1,7,7,3,8,7,7,6,6,2,4,6,3,5,7,7,1,1,2,1,1,1
4,2,2,3,7,3,4,6,1,4,3,5,1,10,5,5,3,4,3,14,5,2,2,5,4,10,5,7,3,1,9,4,6,4,8,1,6,1,6,3,8,7,4,1,4,1,1,2
2,2,3,2,2,2,3,6,1,3,3,4,5,5,4,4,5,4,4,51,2,3,5,4,5,8,9,5,1,1,9,2,3,7,1,4,1,8,3,5,5,1,4,6,2,1,1,5
9,1,1,3,1,5,5,9,1,3,5,2,4,6,2,7,5,7,3,2,3,3,6,2,8,9,4,7,7,1,7,7,7,6,8,3,4,3,5,1,8,9,4,1,4,2,3,1
6,1,1,4,1,2,4,9,1,3,6,1,4,6,1,6,3,7,5,60,3,3,3,1,7,3,9,1,4,3,9,5,1,5,3,3,4,7,5,5,3,3,4,3,2,1,1,1
9,2,3,3,5,3,2,5,1,4,3,5,1,9,5,4,5,6,3,63,2,3,4,5,3,2,7,1,8,1,9,9,1,5,1,1,6,3,5,5,6,1,4,2,2,1,1,1
2,4,3,2,11,2,3,3,1,2,1,6,4,7,6,2,3,4,3,58,2,2,1,5,10,3,1,4,6,1,7,6,4,4,6,6,2,8,2,3,4,9,4,6,4,1,2,4
7,4,3,3,11,4,6,7,1,5,1,6,2,6,6,6,5,5,3,50,2,1,5,2,5,3,9,1,6,1,9,7,1,5,2,5,4,6,5,1,8,2,4,2,2,2,3,1
6,5,1,3,7,4,6,8,1,5,3,4,2,8,4,6,2,6,5,34,3,2,1,4,7,5,7,4,3,1,9,4,3,4,3,4,2,7,4,4,3,3,4,3,3,1,1,5
8,1,3,3,9,4,7,9,1,4,2,5,1,7,5,7,1,6,5,30,5,2,1,4,7,5,8,3,9,6,8,9,3,5,3,3,6,4,6,3,8,2,4,4,4,1,1,3
6,5,2,2,3,5,3,6,1,4,3,5,1,10,5,5,2,5,4,60,2,2,1,4,5,7,9,4,2,1,6,2,3,5,2,3,3,7,5,5,5,2,4,3,3,1,1,1
1,1,1,1,2,3,2,4,1,3,2,5,5,2,2,3,2,1,3,4,3,1,3,1,3,7,9,4,4,4,5,4,3,6,2,5,2,5,3,1,3,1,4,2,4,3,6,4
9,2,3,3,6,4,4,6,1,4,3,4,1,10,4,4,2,7,5,54,4,3,1,4,4,5,9,3,3,4,8,4,2,4,3,5,5,6,4,1,5,3,4,3,4,2,4,1
5,3,1,4,4,3,2,6,1,4,5,3,1,10,3,4,1,6,5,9,2,1,1,3,4,4,4,4,8,6,6,6,4,6,5,4,6,1,2,1,5,2,4,2,4,3,4,1
7,2,2,3,11,2,4,5,1,3,1,6,4,2,2,3,2,7,5,55,2,3,1,2,3,6,6,5,4,2,7,4,4,5,3,3,6,1,5,1,3,1,4,2,3,2,5,2
6,5,2,4,9,5,5,8,1,4,3,5,1,5,5,6,4,5,4,49,3,3,5,5,6,8,9,5,8,8,6,6,5,4,6,4,1,9,4,5,3,9,4,3,1,1,1,5
9,5,2,3,11,2,4,5,1,3,1,6,5,4,4,4,3,7,3,39,1,2,1,2,3,3,8,2,2,3,6,2,1,4,3,2,6,2,5,1,5,1,4,3,4,2,2,1
5,1,3,3,2,2,5,9,2,3,4,3,6,2,2,7,4,5,2,18,2,1,1,3,8,10,3,7,4,2,7,4,6,6,3,5,6,2,3,1,8,1,4,3,4,3,4,1
6,2,3,2,9,5,8,9,1,4,1,7,1,7,7,7,2,6,4,46,3,2,1,6,7,8,9,5,8,4,7,7,5,5,5,4,2,7,3,3,2,6,4,2,4,1,1,1
4,1,1,3,6,4,6,8,1,3,3,3,5,1,1,5,1,5,3,21,3,2,1,1,6,3,1,4,2,4,7,3,3,4,6,4,6,3,3,1,8,4,1,4,4,3,6,1
6,2,2,3,10,5,8,9,1,4,2,6,1,7,6,7,3,5,4,33,3,1,1,9,8,2,4,2,1,1,9,2,1,5,2,5,2,1,5,1,8,1,4,4,4,3,3,1
3,3,1,1,5,4,3,4,1,3,1,5,5,3,3,3,5,2,3,57,3,3,6,3,2,2,3,2,3,1,5,3,1,5,3,2,1,5,5,5,5,2,4,2,2,1,1,1
1,2,2,2,6,4,4,5,1,3,2,4,4,2,2,3,2,3,4,9,2,3,1,2,4,5,5,4,5,5,9,6,4,6,2,2,2,4,2,3,5,1,4,2,4,1,1,1
3,4,3,2,11,5,3,3,1,4,1,7,1,8,7,3,2,3,5,55,3,3,1,7,10,1,1,2,6,3,9,7,2,6,3,7,5,3,5,1,8,2,4,1,4,2,1,1
1,1,1,2,1,2,2,5,1,3,4,3,5,3,3,4,3,2,3,64,4,2,4,2,3,7,1,7,8,5,5,5,6,5,6,2,4,7,7,5,8,8,4,1,1,1,1,3
